matricula,data_inicio,data_fim
BBPF-70,22-09-2026  16:30:00,30-09-2026  15:00:00
BRBF-05,22-09-2026  16:15:00,02-10-2026  15:00:00
BBPG-35,22-09-2026  14:45:00,30-09-2026  10:15:00
BFFL-13,22-09-2026  15:00:00,02-10-2026  14:00:00
BPEU-73,22-09-2026  14:30:00,29-09-2026  07:00:00
BJIQ-71,22-09-2026  13:15:00,02-10-2026  13:10:00
BLOA-04,22-09-2026  13:15:00,30-09-2026  13:15:00
BHNX-90,22-09-2026  13:15:00,30-09-2026  13:15:00
BVSL-89,22-09-2026  13:00:00,06-10-2026  08:00:00
BHMP-20,22-09-2026  11:00:00,26-09-2026  11:00:00
BTAL-37,22-09-2026  13:00:00,29-09-2026  12:00:00
BDQL-88,22-09-2026  13:30:00,28-09-2026  20:00:00
AZHI-42,22-09-2026  10:30:00,28-09-2026  20:00:00
BXZU-67,22-09-2026  09:00:00,27-09-2026  20:00:00
ATMA-71,22-09-2026  10:00:00,24-09-2026  21:00:00
BBFJ-74,22-09-2026  10:00:00,03-10-2026  18:00:00
BBFJ-73,22-09-2026  09:00:00,28-09-2026  09:00:00
BBMI-81,22-09-2026  09:00:00,30-09-2026  15:00:00
BHLH-12,22-09-2026  10:00:00,25-09-2026  20:00:00
BJIQ-77,22-09-2026  08:00:00,28-09-2026  18:00:00
BECC-73,22-09-2026  09:00:00,27-09-2026  13:00:00
AXVP-79,22-09-2026  09:00:00,24-09-2026  14:45:00
BVTP-59,22-09-2026  09:00:00,29-09-2026  15:00:00
BBPG-74,22-09-2026  09:15:00,26-09-2026  20:15:00
BLOA-98,22-09-2026  09:15:00,26-09-2026  09:00:00
BDBO-03,22-09-2026  08:30:00,25-09-2026  08:30:00
ATNZ-52,22-09-2026  08:30:00,26-09-2026  08:30:00
BGLA-65,22-09-2026  10:50:00,29-09-2026  10:00:00
